number_of_items,kitchen_load,time_of_day,distance,KPT
4,6,1,7,21.95909565075192
1,6,1,8,16.38296333060855
4,2,2,4,15.141257854794796
1,5,2,7,14.455613071201974
4,5,3,6,18.305054714186717
1,6,1,8,17.66429782197543
2,5,3,6,17.025199472673187
5,1,2,8,17.10398393478412
3,6,1,2,16.040337310216035
4,6,1,2,17.950946279571628
5,4,2,2,17.25334663856989
3,5,2,7,20.206850182189825
3,6,2,6,19.685940827627643
1,1,2,6,9.139593545667205
2,4,2,6,13.831168368453248
2,2,1,4,9.816309580419015
5,6,2,6,24.75401381584731
2,1,1,4,7.89439460157374
4,3,1,2,15.11213646090853
2,1,2,2,6.4716159090048615
5,1,2,7,16.77833748494158
2,4,1,8,18.070162587348925
4,2,2,2,12.164181022833768
1,3,2,8,13.045345802750635
5,5,2,8,24.516436422521735
1,5,3,9,16.926508649672012
1,1,1,7,9.355053348889578
1,4,3,3,10.343460256018266
3,4,2,3,13.097760790983678
3,5,3,5,17.84828933009976
1,3,2,9,12.967531542988345
5,2,3,7,19.37576721740318
4,3,2,5,17.872061423949685
4,6,3,5,19.194442738582985
2,6,3,9,21.573807827427103
5,2,3,3,14.988942208132958
3,5,1,7,18.96905077781553
1,2,3,3,6.48761254748761
2,4,1,5,14.188467729066277
4,6,2,7,22.666814883177405
3,1,3,5,12.57692282529285
3,1,2,6,11.558606723369744
1,5,2,9,18.360802401937907
4,4,3,8,21.06471408630889
5,3,1,7,20.19096897677541
3,4,3,7,17.41921563610451
1,1,2,8,9.59343055286615
5,1,2,5,15.258656225593494
4,6,3,6,21.968401956935473
3,4,1,4,14.991000039306266
5,4,1,8,21.75947054349251
5,1,2,9,18.8744592948367
5,3,2,3,16.06371188127461
3,5,1,5,17.822466901001746
3,5,3,8,19.676932964519256
2,4,2,8,17.09673090923184
4,5,1,7,22.08907421069548
1,1,2,3,6.888680560344739
5,1,3,3,14.218105056052627
2,4,1,9,17.634831220766845
1,4,2,3,10.077248973881565
2,6,3,8,20.077639688483345
3,4,2,4,15.990501360661723
5,3,3,2,14.532670846475474
1,5,3,5,13.878347195607263
1,4,1,2,10.968129807708866
1,2,3,8,11.043709705395216
1,6,2,2,12.02545302386612
1,2,3,8,10.980136538913682
2,1,3,2,5.595124007170873
5,5,1,3,20.025983954448908
3,4,3,6,16.82996544009725
3,2,3,3,11.597026832877301
3,5,2,3,16.315976621217803
3,1,1,9,13.902006597818524
2,3,1,7,14.373199199022045
4,6,1,7,23.04319865991573
5,5,3,2,18.61160826918297
1,5,1,8,16.320117998251973
4,3,3,9,19.780706626386742
3,5,3,3,15.26881023055662
4,1,2,9,16.982788696483677
5,1,2,2,12.80928925664678
1,3,2,7,12.797065274014388
1,6,2,6,15.560833619930962
5,4,2,5,18.71023441823494
5,2,3,2,14.866986985527651
3,4,3,9,19.429403247831434
1,5,1,6,13.21886288720234
4,2,3,5,15.750536115435306
2,3,3,4,12.398220836135478
2,3,2,2,9.23001980752509
5,6,3,2,19.94037369894009
3,2,2,4,12.057992386970472
2,1,1,4,7.941147868962362
1,2,1,2,7.240397184911677
5,5,3,4,20.848971949327208
4,1,1,3,10.806442854111765
5,3,3,5,17.67752908715071
4,2,1,5,16.1877191771664
5,4,2,5,21.535562377915415
5,6,2,3,21.938728976052506
5,4,2,8,22.188724744849686
4,6,2,4,19.76003708759342
4,5,3,6,20.849699418311005
5,4,1,4,19.275920534259487
2,2,3,2,6.9899285525856225
3,2,2,7,15.631867982534832
3,4,3,9,20.545803267362867
3,2,1,9,16.937252532943198
4,5,3,5,18.408388805371793
4,1,1,4,12.063173550276659
2,5,3,6,14.442280138642289
3,6,1,2,18.19604849139556
3,5,1,3,15.543261436740972
5,6,2,8,27.73328932164978
4,2,1,3,15.355230030907778
3,1,2,6,11.396573583631056
2,2,2,2,7.891732260596986
2,3,2,5,12.96619034234712
3,2,3,4,10.445457896133728
4,6,3,2,18.16174088262144
2,2,3,9,13.66184099879327
5,2,3,8,21.251165941946706
2,1,1,3,8.061017885504455
1,2,1,8,11.115233022462805
1,1,3,8,9.268515267314699
4,4,1,6,19.694049597324796
3,3,1,6,14.803289176069592
